Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Bronx,Woodlawn,4c0448d9310fc9b6bf1dc761,Curry Spot,5.0,7.6,10.0
Bronx,Parkchester,4c194631838020a13e78e561,Melanies Roti Bar And Grill,3.0,5.8,2.0
Bronx,Spuyten Duyvil,4c04544df423a593ac83d116,Cumin Indian Cuisine,13.0,6.1,9.0
Bronx,Concourse,551b7f75498e86c00a0ed2e1,Hungry Bird,8.0,6.9,3.0
Bronx,Unionport,4c194631838020a13e78e561,Melanies Roti Bar And Grill,3.0,5.8,2.0
Bronx,Unionport,0,0,0.0,0.0,0.0
Brooklyn,Bay Ridge,4b5a4dc8f964a520a2bb28e3,Taj Mahal,38.0,8.4,26.0
Brooklyn,Brighton Beach,4af0d31bf964a5207ddf21e3,Pak Nasheman,9.0,7.5,4.0
Brooklyn,Flatbush,52213c4211d295d4c57a607c,Ashoka Grill,8.0,7.0,14.0
Brooklyn,Flatbush,564d283d498e6e851df79d87,Great Indian Curry,3.0,6.8,2.0
Brooklyn,East Flatbush,512a9ea9e4b004fb8eeb84e5,Silver Krust,12.0,8.1,3.0
Brooklyn,Kensington,4db0f4371e729fcc56497f20,Mashallah,19.0,7.5,7.0
Brooklyn,Kensington,4b718914f964a520c04b2de3,Madina Restaurant and Sweets,17.0,6.5,12.0
Brooklyn,Gowanus,52f18573498ec2c34e830ffd,Kanan's Indian Restaurant,23.0,7.7,8.0
Brooklyn,Fort Greene,57596dad498e732300496b23,Dosa Royale,75.0,8.7,22.0
Brooklyn,Clinton Hill,57596dad498e732300496b23,Dosa Royale,75.0,8.7,22.0
Brooklyn,Clinton Hill,568d3902498e619efcbc3f58,Spice & Grill,19.0,7.6,6.0
Brooklyn,Prospect Lefferts Gardens,4bb93b70cf2fc9b6fe64a002,Gandhi Fine Indian Cuisine,81.0,8.5,47.0
Brooklyn,Prospect Lefferts Gardens,4afdf78bf964a520862c22e3,King of Tandoor,25.0,7.3,23.0
Brooklyn,Ocean Hill,5539753f498edbace4746b67,Tandoori Masala,12.0,7.7,2.0
